미국 Redbook 월간 소비증가율???,기업 파산건수,US PPI - CPI Index,Korea Export Growth,China Credit Impulse,미국 산업생산 증가율,"미국 자동차 판매: HEAVY & MEDIUM TRUCKS (백만대, 좌)",미국 제조업 신규수주,미국 제조업 판매대비 재고율,BDI,JOLTS,미국 자동차 제외 소매판매 (YoY),미국 전산업 가동률,US 기업+가계대출 증가율,미국 소비자 신용 변화율(아웃스탠딩)
-0.23090767,0.323809819,0.11326987,1.238870089,0.522693432,0.326777547,0.386246368,-0.856086625,0.263684073,0.311727431,0.242462602,-0.167242964,0.556151031,-0.6400519,0.083564184
-0.259167195,0.259640065,0.005559257,-0.106312845,0.561550737,0.498907675,0.567665117,-0.695117559,0.263684073,0.455372536,-0.121220446,0.023584188,0.733593109,-0.631379174,0.083665718
-0.235617591,-0.411060297,0.041462795,0.061835022,0.54795068,0.474317657,0.749083865,0.80349895,0.263684073,-0.143853228,0.215135992,-0.209847178,0.698130414,-0.458213913,0.057589165
-0.270941997,-0.652015932,-0.209861968,-0.463627061,0.518807701,0.508743682,0.749083865,-0.041827545,0.263684073,-0.255214726,-0.006688425,-0.157134985,0.723704564,-0.210162272,-0.095603966
-0.030736032,-0.577219553,0.292787557,0.573284783,0.75778013,0.25054849,-0.158009878,0.460923759,0.459708203,0.260220441,0.370364556,0.209950229,0.476717873,-0.198305621,-0.103334713
-0.000121546,-0.518930154,0.25688402,-0.351528484,0.790808839,0.3980886,1.111921362,0.781743626,0.459708203,0.569764813,0.081873094,-0.171780705,0.590076872,-0.100572288,-0.138878763
-0.117869569,-0.461009515,0.328691095,0.103871989,1.126924532,0.49153067,1.293340111,-0.267635609,0.263684073,0.886800156,0.111470561,-0.004335768,0.647011128,-0.04105825,-0.087999812
0.075237188,-0.467524993,0.185076945,0.286032178,0.954009522,0.786610889,0.930502614,0.663573586,0.361696138,0.474666575,0.090862886,-0.163335331,0.87713551,-0.060544382,-0.084793278
0.376672125,-0.093897906,0.149173407,-0.891002889,1.04143846,0.757102867,1.293340111,0.48137783,0.361696138,-0.080908007,0.211800041,-0.365376113,0.826239605,-0.081388267,-0.050231687
0.364897322,-0.050955424,0.25688402,1.252882411,1.204639143,0.410383609,1.111921362,0.458280589,0.361696138,-0.10603843,0.047364384,-0.163403533,0.473639668,0.008030108,0.035808224
0.470870542,-0.168518059,-0.245765505,-0.071282039,1.282353754,0.341531558,0.930502614,-0.176852879,0.165672007,-0.387690231,0.404024124,-0.194744165,0.390737742,0.19520178,0.108303877
0.663977299,0.252658434,-0.389379655,-0.442608578,1.156067511,0.280056512,1.656177608,-0.017632372,0.067659942,-0.381612129,0.258669413,-1.264156709,0.307875494,0.377435267,0.135779846
0.654557457,0.284710497,-0.60480088,-0.757885828,0.612065234,0.144811411,1.656177608,-0.71616126,-0.030352123,-0.341782686,0.024814432,-0.551542494,0.151450572,0.4753346,0.12016491
0.2471493,-0.831109754,-0.532993805,-1.115200045,0.682008384,-0.054367737,1.293340111,-0.834107648,-0.030352123,-0.719485768,-0.255726755,-0.795807494,-0.078703661,0.498307704,0.080419716
