,NFCIADJ Index
#NAME?,0.553249
1987-09-25,0.891559
1987-10-02,1.132561
1987-10-09,1.378971
1987-10-16,1.594527
1987-10-23,1.743671
1987-10-30,1.797821
1987-11-06,1.760728
1987-11-13,1.678306
1987-11-20,1.594849
1987-11-27,1.536377
1987-12-04,1.508601
1987-12-11,1.47943
1987-12-18,1.428652
1987-12-25,1.334171
1988-01-01,1.201094
1988-01-08,1.049962
1988-01-15,0.907517
1988-01-22,0.781744
1988-01-29,0.674973
1988-02-05,0.580092
1988-02-12,0.493074
1988-02-19,0.417018
1988-02-26,0.357576
1988-03-04,0.323289
1988-03-11,0.318457
1988-03-18,0.340452
1988-03-25,0.376152
1988-04-01,0.419951
1988-04-08,0.464732
1988-04-15,0.504772
1988-04-22,0.54066
1988-04-29,0.565988
1988-05-06,0.579177
1988-05-13,0.580187
1988-05-20,0.56879
1988-05-27,0.550964
1988-06-03,0.53784
1988-06-10,0.535297
1988-06-17,0.547645
1988-06-24,0.573792
1988-07-01,0.608365
1988-07-08,0.643639
1988-07-15,0.677465
1988-07-22,0.70734
1988-07-29,0.729756
1988-08-05,0.742916
1988-08-12,0.739216
1988-08-19,0.711346
1988-08-26,0.656687
1988-09-02,0.584508
1988-09-09,0.506523
1988-09-16,0.441003
1988-09-23,0.396867
1988-09-30,0.372701
1988-10-07,0.358129
1988-10-14,0.341335
1988-10-21,0.315863
1988-10-28,0.28437
1988-11-04,0.255026
1988-11-11,0.237154
1988-11-18,0.232622
1988-11-25,0.238846
1988-12-02,0.246743
1988-12-09,0.249956
1988-12-16,0.246428
1988-12-23,0.241038
1988-12-30,0.236733
1989-01-06,0.237668
1989-01-13,0.242831
1989-01-20,0.251369
1989-01-27,0.267044
1989-02-03,0.298998
1989-02-10,0.356958
1989-02-17,0.448593
1989-02-24,0.56899
1989-03-03,0.707788
1989-03-10,0.842163
1989-03-17,0.955546
1989-03-24,1.033063
1989-03-31,1.069351
1989-04-07,1.068114
1989-04-14,1.033787
1989-04-21,0.966126
1989-04-28,0.872102
1989-05-05,0.75222
1989-05-12,0.61827
1989-05-19,0.485842
1989-05-26,0.378218
1989-06-02,0.312221
1989-06-09,0.292576
1989-06-16,0.307165
1989-06-23,0.33216
1989-06-30,0.339812
1989-07-07,0.315242
1989-07-14,0.253983
1989-07-21,0.175577
1989-07-28,0.104774
1989-08-04,0.061015
1989-08-11,0.06078
1989-08-18,0.101774
1989-08-25,0.173983
1989-09-01,0.265303
1989-09-08,0.362459
1989-09-15,0.454688
1989-09-22,0.531058
1989-09-29,0.585153
1989-10-06,0.607066
1989-10-13,0.589431
1989-10-20,0.536111
1989-10-27,0.455403
1989-11-03,0.361877
1989-11-10,0.273145
1989-11-17,0.197098
1989-11-24,0.138579
1989-12-01,0.094941
1989-12-08,0.060611
1989-12-15,0.033149
1989-12-22,0.012093
1989-12-29,-0.003116
1990-01-05,-0.009757
1990-01-12,-0.012415
1990-01-19,-0.018063
1990-01-26,-0.029851
1990-02-02,-0.05355
1990-02-09,-0.086886
1990-02-16,-0.123324
1990-02-23,-0.156521
1990-03-02,-0.180255
1990-03-09,-0.192793
1990-03-16,-0.191493
1990-03-23,-0.179675
1990-03-30,-0.156844
1990-04-06,-0.12415
1990-04-13,-0.087335
1990-04-20,-0.051155
1990-04-27,-0.025908
1990-05-04,-0.021589
1990-05-11,-0.042236
1990-05-18,-0.083341
1990-05-25,-0.134434
1990-06-01,-0.182587
1990-06-08,-0.216168
1990-06-15,-0.23339
1990-06-22,-0.237708
1990-06-29,-0.232697
1990-07-06,-0.222284
1990-07-13,-0.206683
1990-07-20,-0.180985
1990-07-27,-0.143902
1990-08-03,-0.099101
1990-08-10,-0.052867
1990-08-17,-0.013197
1990-08-24,0.020321
1990-08-31,0.052948
1990-09-07,0.095171
1990-09-14,0.152403
1990-09-21,0.221785
1990-09-28,0.292107
1990-10-05,0.339831
1990-10-12,0.356937
1990-10-19,0.34523
1990-10-26,0.312305
1990-11-02,0.276646
1990-11-09,0.251847
1990-11-16,0.242589
1990-11-23,0.249288
1990-11-30,0.272569
1990-12-07,0.306177
1990-12-14,0.353247
1990-12-21,0.415136
1990-12-28,0.474333
1991-01-04,0.509477
1991-01-11,0.51104
1991-01-18,0.464561
1991-01-25,0.370857
1991-02-01,0.260906
1991-02-08,0.156142
1991-02-15,0.076697
1991-02-22,0.028894
1991-03-01,0.004242
1991-03-08,-0.013963
1991-03-15,-0.036919
1991-03-22,-0.067523
1991-03-29,-0.101585
1991-04-05,-0.12916
1991-04-12,-0.14581
1991-04-19,-0.152297
1991-04-26,-0.150186
1991-05-03,-0.144162
1991-05-10,-0.136391
1991-05-17,-0.123233
1991-05-24,-0.103536
1991-05-31,-0.080419
1991-06-07,-0.062394
1991-06-14,-0.059303
1991-06-21,-0.082472
1991-06-28,-0.134245
1991-07-05,-0.213636
1991-07-12,-0.305342
1991-07-19,-0.396571
1991-07-26,-0.474541
1991-08-02,-0.532598
1991-08-09,-0.572258
1991-08-16,-0.5971
1991-08-23,-0.614303
1991-08-30,-0.629919
1991-09-06,-0.640905
1991-09-13,-0.649923
1991-09-20,-0.652338
1991-09-27,-0.647984
1991-10-04,-0.641836
1991-10-11,-0.640233
1991-10-18,-0.644119
1991-10-25,-0.656101
1991-11-01,-0.670374
1991-11-08,-0.679975
1991-11-15,-0.682652
1991-11-22,-0.681199
1991-11-29,-0.683559
1991-12-06,-0.697685
1991-12-13,-0.726627
1991-12-20,-0.758372
1991-12-27,-0.785922
1992-01-03,-0.796916
1992-01-10,-0.785793
1992-01-17,-0.761292
1992-01-24,-0.736861
1992-01-31,-0.725086
1992-02-07,-0.727922
1992-02-14,-0.73988
1992-02-21,-0.750052
1992-02-28,-0.751559
1992-03-06,-0.744586
1992-03-13,-0.733766
1992-03-20,-0.730737
1992-03-27,-0.742593
1992-04-03,-0.765462
1992-04-10,-0.795351
1992-04-17,-0.822786
1992-04-24,-0.844524
1992-05-01,-0.86117
1992-05-08,-0.87574
1992-05-15,-0.89116
1992-05-22,-0.910931
1992-05-29,-0.930047
